customer_id,city,segment,signup_date
C0000,Санкт-Петербург,Постоянный,2024-11-21
C0001,Санкт-Петербург,Новый,2024-08-11
C0003,Москва,Новый,2024-07-27
C0004,Казань,Новый,2024-07-22
C0005,Новосибирск,Новый,2024-09-08
C0006,Москва,Новый,2024-06-12
C0007,Москва,Новый,2024-08-19
C0008,Казань,Новый,2024-12-31
C0009,Санкт-Петербург,Новый,2024-12-30
C0010,Москва,VIP,2024-06-03
C0012,Екатеринбург,Постоянный,2024-11-14
C0013,Казань,Новый,2025-01-29
C0014,Санкт-Петербург,VIP,2024-10-20
C0015,Екатеринбург,Новый,2024-09-04
C0016,Новосибирск,Новый,2024-09-29
C0017,Москва,Постоянный,2024-07-23
C0019,Екатеринбург,Новый,2024-09-06
C0020,Казань,Новый,2025-01-16
C0021,Казань,Новый,2024-10-28
C0022,Москва,Постоянный,2024-09-14
C0026,Новосибирск,Постоянный,2024-07-01
C0027,Екатеринбург,Новый,2025-01-09
C0029,Москва,Новый,2024-07-10
C0030,Казань,Новый,2024-11-24
C0031,Москва,Постоянный,2024-08-14
C0032,Санкт-Петербург,Новый,2024-08-08
C0033,Казань,VIP,2024-07-12
C0034,Новосибирск,Постоянный,2024-08-31
C0035,Екатеринбург,Новый,2024-11-13
C0036,Новосибирск,Постоянный,2024-09-11
C0038,Екатеринбург,Новый,2024-06-07
C0039,Москва,Новый,2024-08-04
C0040,Екатеринбург,Новый,2024-07-10
C0043,Москва,Новый,2024-09-07
C0044,Москва,Постоянный,2025-01-08
C0045,Новосибирск,VIP,2025-01-22
C0046,Новосибирск,Новый,2025-01-31
C0047,Москва,Новый,2024-06-28
C0048,Екатеринбург,Постоянный,2024-09-28
C0049,Санкт-Петербург,Новый,2024-06-12
C0050,Казань,Новый,2024-09-30
C0051,Москва,VIP,2024-10-20
C0052,Санкт-Петербург,Постоянный,2024-12-07
C0053,Санкт-Петербург,VIP,2024-08-22
C0054,Новосибирск,Новый,2024-06-09
C0055,Новосибирск,Новый,2024-09-20
C0056,Москва,Новый,2024-09-13
C0057,Новосибирск,VIP,2024-10-31
C0058,Казань,Новый,2024-06-25
C0061,Москва,Новый,2024-10-29
C0062,Санкт-Петербург,Новый,2024-09-07
C0063,Новосибирск,Постоянный,2024-11-29
C0064,Екатеринбург,Постоянный,2025-01-28
C0065,Москва,Постоянный,2024-07-26
C0066,Санкт-Петербург,Новый,2024-12-02
C0067,Санкт-Петербург,Постоянный,2024-07-02
C0068,Екатеринбург,Новый,2025-01-28
C0069,Москва,Новый,2024-09-26
C0070,Екатеринбург,Новый,2024-11-30
C0071,Новосибирск,Постоянный,2024-12-08
C0072,Санкт-Петербург,Новый,2024-10-27
C0073,Казань,VIP,2024-09-03
C0075,Казань,Новый,2024-12-02
C0076,Казань,Новый,2024-09-25
C0077,Казань,Постоянный,2024-11-09
C0078,Санкт-Петербург,Постоянный,2024-10-29
C0080,Казань,Новый,2024-09-22
C0081,Москва,Постоянный,2024-06-29
C0082,Санкт-Петербург,Новый,2024-08-11
C0083,Новосибирск,Новый,2025-01-16
C0084,Екатеринбург,Постоянный,2024-10-06
C0085,Новосибирск,Постоянный,2024-11-03
C0086,Новосибирск,Новый,2024-08-03
C0087,Санкт-Петербург,Новый,2024-11-20
C0088,Новосибирск,Постоянный,2024-09-28
C0089,Новосибирск,Новый,2024-07-24
C0090,Новосибирск,VIP,2024-07-06
C0091,Новосибирск,Постоянный,2024-09-05
C0092,Екатеринбург,VIP,2024-10-17
C0093,Санкт-Петербург,Новый,2024-08-08
C0095,Москва,Постоянный,2024-07-31
C0096,Санкт-Петербург,Новый,2024-08-06
C0097,Новосибирск,Новый,2024-08-11
C0099,Москва,Новый,2024-11-29
C0100,Москва,Новый,2024-10-01
C0101,Казань,VIP,2024-09-23
C0103,Санкт-Петербург,Постоянный,2024-07-10
C0104,Екатеринбург,Постоянный,2024-10-12
C0105,Москва,Постоянный,2025-01-22
C0106,Казань,Постоянный,2024-11-30
C0107,Санкт-Петербург,Постоянный,2024-09-18
C0108,Санкт-Петербург,Постоянный,2024-08-15
C0109,Екатеринбург,Постоянный,2024-08-26
C0110,Санкт-Петербург,Постоянный,2024-06-07
C0112,Новосибирск,Новый,2024-06-08
C0113,Екатеринбург,VIP,2024-12-08
C0114,Москва,Новый,2024-12-24
C0115,Москва,Новый,2025-01-24
C0116,Екатеринбург,VIP,2024-11-01
C0117,Санкт-Петербург,Новый,2025-01-14
C0118,Казань,Новый,2024-09-11
C0119,Казань,Новый,2024-08-02
C0121,Казань,Новый,2024-07-31
C0122,Казань,VIP,2024-07-28
C0123,Казань,Постоянный,2024-11-30
C0124,Санкт-Петербург,Новый,2024-06-03
C0125,Казань,VIP,2025-01-18
C0126,Санкт-Петербург,Постоянный,2024-12-07
C0127,Новосибирск,VIP,2024-09-02
C0128,Москва,Новый,2024-11-19
C0129,Казань,Новый,2024-07-04
C0130,Новосибирск,Новый,2024-09-14
C0132,Казань,Новый,2024-06-27
C0133,Санкт-Петербург,Постоянный,2024-06-28
C0134,Санкт-Петербург,Новый,2024-06-02
C0135,Новосибирск,Постоянный,2024-12-12
C0136,Казань,Постоянный,2024-11-30
C0137,Новосибирск,Новый,2025-01-05
C0138,Екатеринбург,Новый,2025-01-27
C0139,Санкт-Петербург,Постоянный,2025-01-23
C0141,Екатеринбург,VIP,2025-01-30
C0142,Екатеринбург,Новый,2024-06-04
C0143,Казань,VIP,2024-12-10
C0144,Москва,Постоянный,2024-11-25
C0146,Санкт-Петербург,Постоянный,2024-07-10
C0147,Москва,Новый,2024-07-04
C0148,Новосибирск,Постоянный,2025-01-26
C0149,Екатеринбург,Постоянный,2025-01-03
C0151,Екатеринбург,Новый,2024-08-20
C0152,Екатеринбург,VIP,2024-06-19
C0153,Екатеринбург,VIP,2024-08-21
C0154,Казань,Новый,2024-06-02
C0155,Казань,Постоянный,2024-11-16
C0156,Новосибирск,Постоянный,2024-09-02
C0157,Казань,Постоянный,2024-06-13
C0158,Москва,Постоянный,2025-01-27
C0160,Екатеринбург,Новый,2024-12-20
C0161,Новосибирск,Новый,2025-01-08
C0162,Казань,Новый,2025-01-31
C0163,Новосибирск,VIP,2024-06-04
C0164,Москва,Новый,2024-12-07
C0165,Екатеринбург,VIP,2024-12-10
C0166,Казань,Новый,2024-12-09
C0167,Москва,Новый,2024-08-04
C0168,Москва,VIP,2024-09-04
C0169,Екатеринбург,Постоянный,2025-01-14
C0170,Новосибирск,Новый,2024-06-17
C0171,Новосибирск,Новый,2024-11-05
C0172,Москва,Новый,2024-12-12
C0173,Новосибирск,Новый,2024-12-13
C0174,Новосибирск,Новый,2024-10-25
C0175,Казань,Постоянный,2024-12-05
C0176,Санкт-Петербург,Новый,2025-01-09
C0177,Санкт-Петербург,Новый,2024-12-05
C0179,Москва,Новый,2024-06-29
C0180,Новосибирск,Новый,2024-07-30
C0181,Екатеринбург,VIP,2024-08-14
C0182,Санкт-Петербург,Новый,2024-08-24
C0183,Екатеринбург,Новый,2024-08-28
C0184,Казань,Постоянный,2024-07-24
C0185,Москва,VIP,2024-11-15
C0186,Новосибирск,Постоянный,2024-06-28
C0187,Екатеринбург,Постоянный,2024-12-10
C0188,Москва,VIP,2024-11-09
C0189,Москва,Постоянный,2025-01-22
C0190,Санкт-Петербург,VIP,2024-06-02
C0191,Москва,Новый,2024-08-12
C0192,Санкт-Петербург,Постоянный,2025-01-07
C0193,Москва,VIP,2024-09-29
C0195,Казань,VIP,2024-10-16
C0196,Новосибирск,Новый,2024-06-08
C0197,Санкт-Петербург,Постоянный,2024-12-04
C0198,Екатеринбург,Новый,2024-08-01
C0200,Москва,Постоянный,2025-01-22
C0201,Новосибирск,Новый,2024-08-31
C0202,Екатеринбург,Постоянный,2024-07-17
C0203,Казань,Постоянный,2024-10-24
C0204,Санкт-Петербург,Новый,2024-09-25
C0205,Новосибирск,Новый,2024-09-24
C0208,Екатеринбург,Новый,2025-01-19
C0209,Екатеринбург,Постоянный,2024-08-29
C0210,Москва,Постоянный,2024-09-06
C0212,Казань,Постоянный,2024-10-31
C0213,Санкт-Петербург,Новый,2024-07-12
C0214,Санкт-Петербург,Постоянный,2024-12-21
C0215,Москва,Постоянный,2024-07-27
C0216,Москва,Новый,2024-07-30
C0217,Санкт-Петербург,Новый,2024-06-03
C0218,Москва,Новый,2024-08-24
C0219,Екатеринбург,Новый,2024-10-21
C0220,Новосибирск,Новый,2024-11-20
C0221,Санкт-Петербург,Новый,2025-01-07
C0222,Новосибирск,Новый,2024-12-08
C0223,Екатеринбург,Новый,2024-08-18
C0224,Москва,Новый,2024-12-20
C0225,Санкт-Петербург,Постоянный,2024-07-18
C0226,Казань,Постоянный,2024-07-22
C0227,Москва,Новый,2024-08-27
C0228,Казань,Постоянный,2024-10-11
C0229,Казань,Постоянный,2024-07-20
C0230,Санкт-Петербург,Новый,2025-01-07
C0231,Санкт-Петербург,Новый,2024-08-06
C0232,Санкт-Петербург,Новый,2024-09-05
C0233,Новосибирск,Постоянный,2024-10-27
C0234,Санкт-Петербург,Новый,2024-09-14
C0235,Екатеринбург,Новый,2024-09-07
C0236,Санкт-Петербург,Постоянный,2025-01-28
C0237,Казань,VIP,2024-09-15
C0238,Казань,Новый,2024-06-28
C0239,Новосибирск,Постоянный,2024-11-26
C0240,Новосибирск,Новый,2024-11-20
C0241,Москва,Постоянный,2024-07-24
C0242,Москва,Постоянный,2024-12-26
C0243,Новосибирск,Постоянный,2024-09-05
C0244,Новосибирск,Новый,2024-07-07
C0245,Санкт-Петербург,Новый,2024-07-13
C0246,Москва,Постоянный,2024-11-23
C0247,Казань,Новый,2024-07-23
C0248,Новосибирск,VIP,2024-09-24
C0249,Новосибирск,Новый,2024-11-27
C0250,Новосибирск,Новый,2024-12-26
C0251,Новосибирск,Новый,2024-09-28
C0252,Екатеринбург,Новый,2025-01-09
C0253,Екатеринбург,Постоянный,2024-08-14
C0254,Новосибирск,Новый,2024-12-31
C0255,Москва,Постоянный,2024-08-01
C0257,Казань,Постоянный,2024-06-16
C0258,Санкт-Петербург,VIP,2024-11-25
C0259,Москва,Постоянный,2024-12-03
C0260,Москва,VIP,2025-01-13
C0261,Екатеринбург,VIP,2025-01-12
C0262,Санкт-Петербург,Новый,2024-06-26
C0263,Москва,VIP,2024-10-31
C0264,Казань,VIP,2024-11-20
C0265,Санкт-Петербург,Новый,2024-10-26
C0266,Казань,Постоянный,2024-06-05
C0267,Казань,Новый,2024-06-12
C0268,Москва,Постоянный,2024-11-12
C0269,Екатеринбург,Новый,2024-12-27
C0270,Екатеринбург,Постоянный,2024-07-14
C0271,Москва,Новый,2024-06-12
C0272,Санкт-Петербург,Постоянный,2024-09-07
C0274,Новосибирск,Новый,2024-08-16
C0275,Москва,Постоянный,2025-01-27
C0276,Екатеринбург,Новый,2025-01-13
C0277,Санкт-Петербург,Постоянный,2024-10-15
C0278,Казань,Новый,2025-01-19
C0279,Казань,Новый,2024-07-27
C0280,Екатеринбург,Новый,2025-01-30
C0281,Москва,VIP,2024-09-18
C0282,Москва,Новый,2024-09-25
C0283,Москва,Постоянный,2024-06-13
C0284,Новосибирск,Новый,2024-07-14
C0285,Екатеринбург,Постоянный,2024-07-18
C0286,Москва,Новый,2024-09-28
C0287,Екатеринбург,Новый,2024-07-17
C0288,Москва,Новый,2024-06-26
C0289,Санкт-Петербург,Новый,2024-10-27
C0290,Новосибирск,Новый,2024-12-31
C0291,Казань,Новый,2024-06-18
C0292,Екатеринбург,Постоянный,2024-10-16
C0293,Новосибирск,VIP,2025-01-22
C0294,Москва,Новый,2024-09-08
C0297,Санкт-Петербург,VIP,2024-07-15
C0298,Екатеринбург,Новый,2024-06-20
C0299,Москва,Новый,2025-01-16
